#;attributes;table;attribute_type;length;option;default;
1;company_id;companies;BIGINT;20;PrimaryKey;;
2;company_nr;companies;DATETIME;;NotNull;-;
3;company_name;companies;VARCHAR;50;NotNull;-;
4;company_image;companies;VARCHAR;50;;NULL;
5;company_street;companies;VARCHAR;50;NotNull;-;
6;company_streetnr;companies;INT;10;NotNull;-;
7;company_postcode;companies;INT;10;NotNull;-;
8;company_city;companies;VARCHAR;20;NotNull;-;
9;company_country;companies;VARCHAR;20;NotNull;-;
10;company_traderegister;companies;VARCHAR;20;NotNull;-;
11;company_vatnr;companies;VARCHAR;20;;NULL;
12;company_taxnr;companies;VARCHAR;20;;NULL;
13;company_bankname;companies;VARCHAR;20;NotNull;-;
14;company_bankcode;companies;VARCHAR;20;NotNull;-;
15;company_iban;companies;INT;20;NotNull;-;
16;company_bic;companies;VARCHAR;20;;NULL;
17;company_telephone;companies;INT;20;NotNull;-;
18;company_email;companies;VARCHAR;100;;NULL;
19;company_url;companies;VARCHAR;100;;NULL;
20;group_id;groups;BIGINT;20;PrimaryKey;;
21;company_id;groups;BIGINT;20;ForeignKey;;
22;groud_date;groups;DATETIME;;NotNull;-;
23;group_parent;groups;BIGINT;20;NotNull;-;
24;group_name;groups;VARCHAR;100;NotNull;-;
25;group_description;groups;LONGTEXT;;;NULL;
26;group_location;groups;VARCHAR;255;;NULL;
27;capability_id;capabilities;BIGINT;20;PrimaryKey;;
28;capability_name;capabilities;VARCHAR;20;NotNull;-;
29;role_id;roles;BIGINT;20;PrimaryKey;;
30;role_name;roles;VARCHAR;20;NotNull;-;
31;id;role_has_capabilities;BIGINT;20;PrimaryKey;;
32;role_id;role_has_capabilities;BIGINT;20;ForeignKey;;
33;capability_id;role_has_capabilities;BIGINT;20;NotNull;-;
34;id;user_has_capabilities;BIGINT;20;PrimaryKey;;
35;user_id;user_has_capabilities;BIGINT;20;ForeignKey;;
36;capability_id;user_has_capabilities;BIGINT;20;NotNull;-;
37;id;user_has_roles;BIGINT;20;PrimaryKey;;
38;user_id;user_has_roles;BIGINT;20;ForeignKey;;
39;role_id;user_has_roles;BIGINT;20;NotNull;-;
40;car_id;cars;BIGINT;20;PrimaryKey;;
41;car_brand;cars;VARCHAR;20;NotNull;-;
42;car_model;cars;VARCHAR;20;NotNull;-;
43;car_type;cars;VARCHAR;20;NotNull;-;
44;customer_id;customers;BIGINT;20;PrimaryKey;;
45;company_id;customers;BIGINT;20;ForeignKey;;
46;customer_date;customers;DATETIME;;NotNull;-;
47;customer_name;customers;VARCHAR;50;NotNull;-;
48;customer_street;customers;VARCHAR;20;NotNull;-;
49;customer_streetnr;customers;INT;10;NotNull;-;
50;customer_postcode;customers;INT;10;NotNull;-;
51;customer_city;customers;VARCHAR;20;NotNull;-;
52;customer_additional;customers;VARCHAR;50;;NULL;
53;customer_country;customers;VARCHAR;20;NotNull;-;
54;customer_telephone;customers;INT;20;NotNull;-;
55;customer_email;customers;VARCHAR;100;NotNull;-;
56;contract_id;contracts;BIGINT;20;PrimaryKey;;
57;company_id;contracts;BIGINT;20;ForeignKey;;
58;contract_nr;contracts;BIGINT;20;NotNull;-;
59;contract_date;contracts;DATETIME;;NotNull;-;
60;contract_type;contracts;INT;10;NotNull;-;
61;contract_kind;contracts;INT;10;;NULL;
62;contract_start_station_id;contracts;VARCHAR;20;;NULL;
63;contract_start_customer_id;contracts;BIGINT;20;NotNull;-;
64;contract_start_street;contracts;VARCHAR;20;NotNull;-;
65;contract_start_streetnr;contracts;INT;10;NotNull;-;
66;contract_start_postcode;contracts;INT;10;NotNull;-;
67;contract_start_city;contracts;VARCHAR;20;NotNull;-;
68;contract_start_country;contracts;VARCHAR;20;NotNull;-;
